episode,timestep,episode_reward,episode_length,termination_reason
247,8056,70.36688203142376,48.0,collision
248,57,8064,-0.32780901963512105,0.46478308985630673,66.16861979166667,0.2,0.9717708856140622,2.577129394364984
248,8120,14.360752112821249,64.0,collision
249,8170,4.8929245225802624,50.0,collision
250,58,8192,-0.34604181349277496,0.4747227629025777,66.2839765548706,0.2,-0.052000000000000005,0.29655504457618265
250,8211,19.487751659365006,41.0,collision
251,8225,40.649251368911976,14.0,collision
252,8250,22.357800661123612,25.0,collision
253,8286,29.14663177095631,36.0,collision
254,8298,1.287559549981184,12.0,collision
255,8319,12.864364246763792,21.0,collision
256,59,8320,-0.35162261749307316,0.46585024272402126,66.39933363596599,0.2,-0.051000000000000004,-0.051000000000000004
256,8335,2.0019088601369894,16.0,collision
257,8350,11.230254465240339,15.0,collision
258,8394,14.45916529926513,44.0,collision
259,8425,34.42010837035566,31.0,collision
260,60,8448,-0.3269364486138026,0.49143609404563904,66.5146894454956,0.2,-0.073,-1.426
260,8465,9.044426136874572,40.0,collision
261,8485,22.365702730979997,20.0,collision
262,8502,12.722228490164152,17.0,collision
263,8516,15.957599136365243,14.0,collision
264,8536,11.607226883604621,20.0,collision
265,61,8576,-0.32604386781652767,0.47494026521841687,66.63004906972249,0.2,-0.062,5.763682234505816
265,8603,17.364340239660937,67.0,collision
266,8626,2.219741047902928,23.0,collision
267,8656,13.781342274191559,30.0,collision
268,8672,15.34995340083275,16.0,collision
269,62,8704,-0.37197211260596913,0.4862073566764593,66.74540424346924,0.2,0.08776062868785069,33.2306874752673
269,8739,76.85037110862909,67.0,collision
270,8753,-5.741,14.0,collision
271,8792,14.734496259832259,39.0,collision
272,8811,18.994200835439884,19.0,collision
273,63,8832,-0.33917191127936047,0.4948285234471162,66.86070283253987,0.2,0.1467929571567024,1.7831345233218407
273,8847,4.7337318853221095,36.0,collision
274,8862,12.110927650322235,15.0,collision
275,8902,0.6629886293418163,40.0,collision
276,8932,54.7950415031067,30.0,collision
277,64,8960,-0.37740372866392136,0.4873235256721576,66.97592099507649,0.2,-0.05600000000000001,-1.316483459753261
277,8981,34.12280054944165,49.0,collision
278,9012,26.763340162821347,31.0,collision
279,9033,27.423100857225762,21.0,collision
280,9058,13.185506145497847,25.0,collision
281,9073,14.775645817492986,15.0,collision
282,65,9088,-0.3536515186230342,0.4754863294462363,67.09113915761311,0.2,1.676321473173867,9.343668546107065
282,9095,14.619277131526683,22.0,collision
283,9155,2.2038793393599327,60.0,collision
284,9172,16.801196629622876,17.0,collision
285,9190,12.849703198810577,18.0,collision
286,9214,54.19936597961009,24.0,collision
287,66,9216,-0.43984798714518547,0.48480590743323165,67.20635763804118,0.2,-0.052000000000000005,-0.10300000000000001
287,9238,17.685175184805118,24.0,collision
288,9306,18.441118585584352,68.0,collision
289,9325,7.109256947867047,19.0,collision
290,67,9344,-0.35990335419774055,0.4727654332915942,67.32157929738362,0.2,-0.05600000000000001,37.62557884663242
290,9359,56.22405134446265,34.0,collision
291,9376,1.2409663181214468,17.0,collision
292,9424,5.011833901488991,48.0,collision
293,9447,30.770738000753553,23.0,collision
294,9462,-3.0980556042548986,15.0,collision
295,68,9472,-0.3619331034521262,0.46761749560634297,67.43679777781169,0.2,-0.059,-0.46456759252787067
295,9539,-10.637508137324687,77.0,collision
296,9561,7.90615454085534,22.0,collision
297,69,9600,-0.39306296532352764,0.501450901851058,67.55201721191406,0.2,0.23370850233015503,-1.0424491484422531
297,9620,9.267211929740537,59.0,collision
298,9636,50.996093930293924,16.0,collision
299,9653,16.9728835210082,17.0,collision
300,9675,7.768888754770067,22.0,collision
301,9700,14.00398227121013,25.0,collision
302,70,9728,-0.4134216904640198,0.4928272931526105,67.66723696390788,0.2,0.33688246088871776,44.984783513199154
302,9744,84.38509758679535,44.0,collision
303,9806,12.30369209361708,62.0,collision
304,9832,87.92666936646108,26.0,collision
305,71,9856,-0.36480286344885826,0.5120869191984335,67.78245671590169,0.2,0.33575733378365513,0.03579175305459764
305,9898,25.73463371547435,66.0,collision
306,9918,15.695422601118203,20.0,collision
307,9975,118.6972202114404,57.0,collision
308,72,9984,-0.44532740488648415,0.47052361940344173,67.89767551422119,0.2,-0.057999999999999996,198.22619256039002
308,10024,205.69865848260432,49.0,collision
309,10060,99.67502956804294,36.0,collision
310,73,10112,-0.35444696868459385,0.4935276284813881,68.01289463043213,0.2,0.1683789004234815,-1.087980064818481
310,10131,-1.2401274287307786,71.0,collision
311,10149,8.786653081822312,18.0,collision
312,10164,13.511762736481291,15.0,collision
313,10190,3.340898052592234,26.0,collision
314,10214,41.26808716864511,24.0,collision
315,74,10240,-0.45096006244421005,0.4951067330936591,68.12811247507732,0.2,-0.051000000000000004,52.15288391969772
315,10249,48.847711058302664,35.0,collision
316,10276,9.219056222083259,27.0,collision
317,10299,30.974511348601588,23.0,collision
318,10323,1.793494749264883,24.0,collision
319,75,10368,-0.3839758795996507,0.4853463514397542,68.24333063761394,0.2,-0.051000000000000004,14.01507314159329
319,10381,40.74110864072739,58.0,collision
320,10418,33.19185389879549,37.0,collision
321,76,10496,-0.3381827337046464,0.4805300844212373,68.35855007171631,0.2,-0.065,-2.176897673827283
321,10501,-3.8638119168736704,83.0,collision
322,10526,44.979350829120214,25.0,collision
323,10546,14.197796142838776,20.0,collision
324,10563,19.643805138297278,17.0,collision
325,10603,6.5757534022651996,40.0,collision
326,10621,10.566148551831859,18.0,collision
327,77,10624,-0.389769537995259,0.5018393024802208,68.47376887003581,0.2,-0.053000000000000005,-0.15600000000000003
327,10656,20.28056905921368,35.0,collision
328,10668,8.66861441560951,12.0,collision
329,10681,-0.42332238738525163,13.0,collision
330,10726,22.413655276000224,45.0,collision
331,78,10752,-0.35796572888890904,0.4659794879456361,68.58898830413818,0.2,-0.052000000000000005,43.73286072053311
331,10754,38.679860720533114,28.0,collision
332,10777,113.98607232735385,23.0,collision
333,10804,25.09657200855462,27.0,collision
334,10819,11.85202113945455,15.0,collision
335,10858,17.564353475988792,39.0,collision
336,79,10880,-0.49508465453982353,0.5020061967273554,68.70420837402344,0.2,0.32943426178339463,0.1385654991341717
336,10921,12.434898222475976,63.0,collision
337,10966,24.133816524992707,45.0,collision
338,11007,-0.3854017517335979,41.0,collision
339,80,11008,-0.35535084704558056,0.4960130254427592,68.81942685445149,0.2,-0.051000000000000004,-0.051000000000000004
339,11024,13.092659495566423,17.0,collision
340,11111,27.463183476864003,87.0,collision
341,81,11136,-0.3551945686340332,0.5318419399360815,68.93464628855388,0.2,0.938266346896651,1.1737822690616464
341,11148,23.230100452091484,37.0,collision
342,11168,28.1247411381798,20.0,collision
343,82,11264,-0.33351504305998486,0.4605040152867635,69.04986476898193,0.2,1.5163071972064748,26.47080167792585
343,11266,22.987108875132325,98.0,collision
344,11286,121.27429379157152,20.0,collision
345,11303,13.807854369775892,17.0,collision
346,11329,38.99130622150528,26.0,collision
347,11378,17.002730759773126,49.0,collision
348,83,11392,-0.47000301629304886,0.4826202467083931,69.1650842030843,0.2,-0.064,-0.8049999999999999
348,11431,7.152971594066601,53.0,collision
349,11510,94.32333767042856,79.0,collision
350,84,11520,-0.35756490379571915,0.5114276446402073,69.28030236562093,0.2,0.503357560778947,0.3710903429665946
350,11557,33.96880502107845,47.0,collision
351,11602,16.981741717823073,45.0,collision
352,11629,19.955980848178875,27.0,collision
353,85,11648,-0.3914872333407402,0.49775046358505887,69.39552243550618,0.2,-0.06899999999999999,-1.14
353,11675,17.273285564899002,46.0,collision
354,11717,74.46043876965234,42.0,collision
355,11733,10.18461047396808,16.0,collision
356,11757,2.6904812836911134,24.0,collision
357,11775,-0.3618356757002612,18.0,collision
358,86,11776,-0.3760928461949031,0.46518393357594806,69.5107421875,0.2,-0.051000000000000004,-0.051000000000000004
358,11790,6.632873671230993,15.0,collision
359,11810,14.344826488279708,20.0,collision
360,11832,8.519012499583042,22.0,collision
361,11850,7.369689352677803,18.0,collision
362,11876,14.608274100402383,26.0,collision
363,11896,8.117004780393534,20.0,collision
364,87,11904,-0.37873513375719386,0.47003307069341344,69.62596225738525,0.2,-0.057999999999999996,-0.436
364,11929,26.444370540733512,33.0,collision
365,11978,8.418189780258322,49.0,collision
366,12015,9.901427084683034,37.0,collision
367,88,12032,-0.3921171265343825,0.48311382594207924,69.74117819468181,0.2,-0.067,-1.003
367,12064,23.343930894860588,49.0,collision
368,12109,18.409087374783507,45.0,collision
369,12142,75.34434746649823,33.0,collision
370,89,12160,-0.39681605125466984,0.48198435207207996,69.85640048980713,0.2,-0.06799999999999999,-1.071
370,12179,5.69491634606595,37.0,collision
371,12205,7.232848455493489,26.0,collision
372,12222,9.677462297061174,17.0,collision
373,12248,21.45124808176075,26.0,collision
374,12285,5.603756866106437,37.0,collision
